CHR	START	END	ID	LENGTH
1	904433	905024	chr1:904433-905024	592
1	920965	921495	chr1:920965-921495	531
1	938148	938402	chr1:938148-938402	255
1	951409	951727	chr1:951409-951727	319
1	975906	976445	chr1:975906-976445	540
1	1001742	1002273	chr1:1001742-1002273	532
1	1015374	1015648	chr1:1015374-1015648	275
1	1019207	1019560	chr1:1019207-1019560	354
1	1032852	1033382	chr1:1032852-1033382	531
1	1040605	1040936	chr1:1040605-1040936	332
1	1059312	1059571	chr1:1059312-1059571	260
1	1063731	1064306	chr1:1063731-1064306	576
1	1115984	1116280	chr1:1115984-1116280	297
1	1121933	1122485	chr1:1121933-1122485	553
1	1273903	1274373	chr1:1273903-1274373	471
1	1290216	1290567	chr1:1290216-1290567	352
1	1291782	1292261	chr1:1291782-1292261	480
1	1301971	1302299	chr1:1301971-1302299	329
1	1344510	1344905	chr1:1344510-1344905	396
1	1371962	1372548	chr1:1371962-1372548	587
1	1399400	1399882	chr1:1399400-1399882	483
1	1402025	1402295	chr1:1402025-1402295	271
1	1419898	1420130	chr1:1419898-1420130	233
1	1430211	1430764	chr1:1430211-1430764	554
1	1551048	1551410	chr1:1551048-1551410	363
1	1665633	1666034	chr1:1665633-1666034	402
1	1858658	1858908	chr1:1858658-1858908	251
1	1906198	1906668	chr1:1906198-1906668	471
1	1908879	1909360	chr1:1908879-1909360	482
1	1943903	1944452	chr1:1943903-1944452	550
1	1960011	1960455	chr1:1960011-1960455	445
1	2044762	2045269	chr1:2044762-2045269	508
1	2046458	2046749	chr1:2046458-2046749	292
1	2091549	2092023	chr1:2091549-2092023	475
1	2132159	2132623	chr1:2132159-2132623	465
1	2139776	2140325	chr1:2139776-2140325	550
1	2174224	2174791	chr1:2174224-2174791	568
1	2311461	2311797	chr1:2311461-2311797	337
1	2322230	2322714	chr1:2322230-2322714	485
1	2381676	2382216	chr1:2381676-2382216	541
1	2382615	2382918	chr1:2382615-2382918	304
1	2414256	2414813	chr1:2414256-2414813	558
1	2526072	2526329	chr1:2526072-2526329	258
1	2643334	2643566	chr1:2643334-2643566	233
1	2786523	2787060	chr1:2786523-2787060	538
1	2801601	2801891	chr1:2801601-2801891	291
1	2821947	2822402	chr1:2821947-2822402	456
1	2875851	2876301	chr1:2875851-2876301	451
1	2922061	2922489	chr1:2922061-2922489	429
1	3012342	3012900	chr1:3012342-3012900	559
1	3024087	3024334	chr1:3024087-3024334	248
1	3066186	3066451	chr1:3066186-3066451	266
1	3453003	3453541	chr1:3453003-3453541	539
1	3471880	3472191	chr1:3471880-3472191	312
1	3483757	3484288	chr1:3483757-3484288	532
1	3491081	3491665	chr1:3491081-3491665	585
1	3518158	3518573	chr1:3518158-3518573	416
1	3565137	3565651	chr1:3565137-3565651	515
1	3615146	3615499	chr1:3615146-3615499	354
1	3619000	3619473	chr1:3619000-3619473	474
1	3724265	3724828	chr1:3724265-3724828	564
1	3775935	3776257	chr1:3775935-3776257	323
1	3858309	3858541	chr1:3858309-3858541	233
1	3910719	3911175	chr1:3910719-3911175	457
1	4585189	4585587	chr1:4585189-4585587	399
1	4652463	4652996	chr1:4652463-4652996	534
1	4656357	4656589	chr1:4656357-4656589	233
1	4777884	4778324	chr1:4777884-4778324	441
1	4826148	4826396	chr1:4826148-4826396	249
1	5119578	5119874	chr1:5119578-5119874	297
1	5509810	5510256	chr1:5509810-5510256	447
1	5514482	5514989	chr1:5514482-5514989	508
1	5745684	5746264	chr1:5745684-5746264	581
1	5915969	5916389	chr1:5915969-5916389	421
1	5975171	5975586	chr1:5975171-5975586	416
1	6034410	6034874	chr1:6034410-6034874	465
1	6041450	6041798	chr1:6041450-6041798	349
1	6052910	6053208	chr1:6052910-6053208	299
1	6082244	6082653	chr1:6082244-6082653	410
1	6245057	6245451	chr1:6245057-6245451	395
1	6246584	6247143	chr1:6246584-6247143	560
1	6280814	6281162	chr1:6280814-6281162	349
1	6343397	6343855	chr1:6343397-6343855	459
1	6347900	6348314	chr1:6347900-6348314	415
1	6378205	6378437	chr1:6378205-6378437	233
1	6393920	6394268	chr1:6393920-6394268	349
1	6423442	6423816	chr1:6423442-6423816	375
1	6486372	6486842	chr1:6486372-6486842	471
1	6489780	6490302	chr1:6489780-6490302	523
1	6523702	6524024	chr1:6523702-6524024	323
1	6554345	6554936	chr1:6554345-6554936	592
1	6603799	6604100	chr1:6603799-6604100	302
1	6625502	6625794	chr1:6625502-6625794	293
1	6634617	6635021	chr1:6634617-6635021	405
1	6646460	6646916	chr1:6646460-6646916	457
1	6701674	6702159	chr1:6701674-6702159	486
1	6719822	6720353	chr1:6719822-6720353	532
1	6727385	6727944	chr1:6727385-6727944	560
1	7808285	7808660	chr1:7808285-7808660	376
1	7942254	7942693	chr1:7942254-7942693	440
1	7961207	7961626	chr1:7961207-7961626	420
1	7975200	7975736	chr1:7975200-7975736	537
1	7982258	7982742	chr1:7982258-7982742	485
1	8014975	8015383	chr1:8014975-8015383	409
1	8031183	8031608	chr1:8031183-8031608	426
1	8238708	8239266	chr1:8238708-8239266	559
1	8314256	8314814	chr1:8314256-8314814	559
1	8342338	8342638	chr1:8342338-8342638	301
1	8348957	8349492	chr1:8348957-8349492	536
1	8351662	8352099	chr1:8351662-8352099	438
1	8374790	8375185	chr1:8374790-8375185	396
1	8424034	8424413	chr1:8424034-8424413	380
1	8439467	8439714	chr1:8439467-8439714	248
1	8460185	8460529	chr1:8460185-8460529	345
1	8560998	8561471	chr1:8560998-8561471	474
1	8571133	8571512	chr1:8571133-8571512	380
1	8598064	8598450	chr1:8598064-8598450	387
1	8671282	8671749	chr1:8671282-8671749	468
1	8718882	8719243	chr1:8718882-8719243	362
1	8726479	8726910	chr1:8726479-8726910	432
1	8848824	8849373	chr1:8848824-8849373	550
1	8859316	8859776	chr1:8859316-8859776	461
1	8862431	8862830	chr1:8862431-8862830	400
1	8871584	8871892	chr1:8871584-8871892	309
1	8879373	8879616	chr1:8879373-8879616	244
1	8918096	8918535	chr1:8918096-8918535	440
1	8962968	8963270	chr1:8962968-8963270	303
1	9005051	9005529	chr1:9005051-9005529	479
1	9010037	9010403	chr1:9010037-9010403	367
1	9058435	9058847	chr1:9058435-9058847	413
1	9101526	9101984	chr1:9101526-9101984	459
1	9110611	9111197	chr1:9110611-9111197	587
1	9128751	9129037	chr1:9128751-9129037	287
1	9142148	9142595	chr1:9142148-9142595	448
1	9181153	9181725	chr1:9181153-9181725	573
1	9196401	9196890	chr1:9196401-9196890	490
1	9234163	9234725	chr1:9234163-9234725	563
1	9249979	9250377	chr1:9249979-9250377	399
1	9267095	9267605	chr1:9267095-9267605	511
1	9288860	9289425	chr1:9288860-9289425	566
1	9377095	9377368	chr1:9377095-9377368	274
1	9384964	9385220	chr1:9384964-9385220	257
1	9413496	9413728	chr1:9413496-9413728	233
1	9428511	9429017	chr1:9428511-9429017	507
1	9491052	9491458	chr1:9491052-9491458	407
1	9572907	9573274	chr1:9572907-9573274	368
1	9573741	9574090	chr1:9573741-9574090	350
1	9588351	9588807	chr1:9588351-9588807	457
